54,ASDM,PT Asuransi Dayin Mitra Tbk.,Insurance,Finance,Insurance
55,ASGR,PT Astra Graphia Tbk.,General,"Trade, Services & Investment",Computer And Services
56,ASII,PT Astra International Tbk.,General,Miscellaneous Industry,Automotive And Components
57,ASJT,PT Asuransi Jasa Tania Tbk.,Insurance,Finance,Insurance
58,ASMI,PT Asuransi Kresna Mitra Tbk.,Insurance,Finance,Insurance
59,ASPI,PT Andalan Sakti Primaindo Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
60,ASRI,PT Alam Sutera Realty Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
61,ASRM,PT Asuransi Ramayana Tbk.,Insurance,Finance,Insurance
62,ASSA,PT Adi Sarana Armada Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
63,ATIC,PT Anabatic Technologies Tbk.,General,"Trade, Services & Investment",Computer And Services
64,AUTO,PT Astra Otoparts Tbk.,General,Miscellaneous Industry,Automotive And Components
65,AYLS,PT Agro Yasa Lestari Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
66,BABP,PT Bank MNC Internasional Tbk.,Financial and Sharia,Finance,Bank
67,BACA,PT Bank Capital Indonesia Tbk.,Financial and Sharia,Finance,Bank
68,BAFI,PT Bussan Auto Finance Tbk.,Financing,Finance,Financial Institution
69,BAJA,PT Saranacentral Bajatama Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
70,BALI,PT Bali Towerindo Sentra Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,,Infrastructure,,
71,BAPA,PT Bekasi Asri Pemula  Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
72,BAPI,PT Bhakti Agung Propertindo Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
73,BATA,PT Sepatu Bata Tbk.,General,Miscellaneous Industry,Footwear
74,BAYU,PT Bayu Buana Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
75,BBCA,PT Bank Central Asia Tbk.,Financial and Sharia,Finance,Bank
76,BBHI,PT Bank Harda International Tbk.,Financial and Sharia,Finance,Bank
77,BBIA,PT Bank UOB Indonesia,Financial and Sharia,Finance,Bank
78,BBKE,PT Bank Kesejahteraan Ekonomi,Financing,Finance,Bank
79,BBKP,PT Bank Bukopin Tbk.,Financial and Sharia,Finance,Bank
80,BBLD,PT Buana Finance Tbk.,Financing,Finance,Financial Institution
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
81,BBMD,PT Bank Mestika Dharma Tbk.,Financial and Sharia,Finance,Bank
82,BBNI,PT Bank Negara Indonesia (Persero),Financial and Sharia,Finance,Bank
"",,Tbk.,,,
83,BBRI,PT Bank Rakyat Indonesia (Persero),Financial and Sharia,Finance,Bank
"",,Tbk.,,,
84,BBRM,PT Pelayaran Nasional Bina Buana,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,Raya Tbk.,Infrastructure,,
85,BBTN,PT Bank Tabungan Negara (Persero),Financial and Sharia,Finance,Bank
"",,Tbk.,,,
86,BBYB,PT Bank Yudha Bhakti Tbk.,Financial and Sharia,Finance,Bank
87,BCAF,PT BCA Finance,Financing,Finance,Financial Institution
88,BCAP,PT MNC Kapital Indonesia Tbk.,General,Finance,Others
89,BCIC,PT Bank JTrust Indonesia Tbk.,Financial and Sharia,Finance,Bank
90,BCIP,PT Bumi Citra Permai Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
91,BDKI,PT Bank Pembangunan Daerah DKI,Financial and Sharia,Finance,Bank
"",,Jakarta,,,
92,BDMN,PT Bank Danamon Indonesia Tbk.,Financial and Sharia,Finance,Bank
93,BEEF,PT Estetika Tata Tiara Tbk.,General,Agriculture,Animal Husbandry
94,BEKS,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Bank
"",,Banten Tbk.,,,
95,BELL,PT Trisula Textile Industries Tbk.,General,Miscellaneous Industry,"Textile, Garment"
96,BEST,PT Bekasi Fajar Industrial Estate Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
97,BEXI,Indonesia Eximbank,Financial and Sharia,Finance,Bank
98,BFIN,PT BFI Finance Indonesia Tbk.,Financing,Finance,Financial Institution
99,BGTG,PT Bank Ganesha Tbk.,Financial and Sharia,Finance,Bank
100,BHIT,PT MNC Investama Tbk.,General,"Trade, Services & Investment",Investment Company
101,BIIF,PT Maybank Indonesia Finance,Financing,Finance,Financial Institution
102,BIKA,PT Binakarya Jaya Abadi Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
103,BIMA,PT Primarindo Asia Infrastructure Tbk.,General,Miscellaneous Industry,Footwear
104,BINA,PT Bank Ina Perdana Tbk.,Financial and Sharia,Finance,Bank
105,BIPI,PT Astrindo Nusantara Infrastruktur,General,Mining,Crude Petroleum & Natural Gas Production
"",,Tbk.,,,
106,BIPP,PT Bhuwanatala Indah Permai Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
107,BIRD,PT Blue Bird Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
108,BISI,PT BISI International Tbk.,General,Agriculture,Crops
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
109,BJBR,PT Bank Pembangunan Daerah Jawa,Financial and Sharia,Finance,Bank
"",,Barat Dan Banten Tbk.,,,
110,BJTG,PT Bank Pembangunan Daerah Jawa,Financial and Sharia,Finance,Bank
"",,Tengah,,,
111,BJTM,PT Bank Pembangunan Daerah Jawa,Financial and Sharia,Finance,Bank
"",,Timur Tbk.,,,
112,BKDP,PT Bukit Darmo Property Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
113,BKSL,PT Sentul City Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
114,BKSW,PT Bank QNB Indonesia Tbk.,Financial and Sharia,Finance,Bank
115,BLAM,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Bank
"",,Lampung,,,
116,BLTA,PT Berlian Laju Tanker Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
117,BLTZ,PT Graha Layar Prima Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
118,BLUE,PT Berkah Prima Perkasa Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
119,BMAS,PT Bank Maspion Indonesia Tbk.,Financial and Sharia,Finance,Bank
120,BMLK,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Financial Institution
"",,Maluku dan Maluku Utara,,,
121,BMRI,PT Bank Mandiri (Persero) Tbk.,Financial and Sharia,Finance,Bank
